공간정보일련번호(gid),격자번호(grid_no)
2583,GR2_F4J21
2584,GR2_F4J22
2585,GR2_F4K11
2586,GR2_F4K12
2587,GR2_F4K21
2588,GR2_F4K22
2589,GR2_F4L11
2590,GR2_F4L12
2591,GR2_F4L21
2592,GR2_F4L22
2593,GR2_G3I11
2594,GR2_G3I12
2595,GR2_G3I21
2636,GR2_F3K24
2637,GR2_F3L13
2638,GR2_F3L14
2639,GR2_F3L23
2640,GR2_F3L24
2641,GR2_F4I13
2642,GR2_F4I14
2643,GR2_F4I23
2644,GR2_F4I24
2645,GR2_F4J13
2646,GR2_F4J14
2647,GR2_F4J23
2648,GR2_F4J24
2649,GR2_F4K13
2650,GR2_F4K14
2651,GR2_F4K23
2652,GR2_F4K24
2653,GR2_F4L13
2654,GR2_F4L14
2655,GR2_F4L23
2656,GR2_F4L24
2657,GR2_G3I13
2658,GR2_G3I14
2701,GR2_F3L31
2702,GR2_F3L32
2703,GR2_F3L41
2704,GR2_F3L42
2705,GR2_F4I31
2706,GR2_F4I32
2707,GR2_F4I41
2708,GR2_F4I42
2709,GR2_F4J31
2710,GR2_F4J32
2711,GR2_F4J41
2712,GR2_F4J42
2713,GR2_F4K31
2714,GR2_F4K32
2715,GR2_F4K41
2716,GR2_F4K42
2717,GR2_F4L31
2718,GR2_F4L32
2719,GR2_F4L41
2720,GR2_F4L42
2721,GR2_G3I31
2766,GR2_F3L34
2767,GR2_F3L43
2768,GR2_F3L44
2769,GR2_F4I33
2770,GR2_F4I34
2771,GR2_F4I43
2772,GR2_F4I44
2773,GR2_F4J33
2774,GR2_F4J34
2775,GR2_F4J43
2776,GR2_F4J44
2777,GR2_F4K33
2778,GR2_F4K34
2779,GR2_F4K43
2780,GR2_F4K44
2781,GR2_F4L33
2782,GR2_F4L34
2783,GR2_F4L43
2784,GR2_F4L44
2830,GR2_F3P12
2831,GR2_F3P21
2832,GR2_F3P22
2833,GR2_F4M11
2834,GR2_F4M12
2835,GR2_F4M21
2836,GR2_F4M22
2837,GR2_F4N11
2838,GR2_F4N12
2839,GR2_F4N21
2840,GR2_F4N22
2841,GR2_F4O11
2842,GR2_F4O12
2843,GR2_F4O21
2844,GR2_F4O22
2845,GR2_F4P11
2846,GR2_F4P12
2847,GR2_F4P21
2895,GR2_F3P23
2896,GR2_F3P24
2897,GR2_F4M13
2898,GR2_F4M14
2899,GR2_F4M23
2900,GR2_F4M24
2901,GR2_F4N13
2902,GR2_F4N14
2903,GR2_F4N23
2904,GR2_F4N24
2905,GR2_F4O13
2906,GR2_F4O14
2907,GR2_F4O23
2908,GR2_F4O24
2909,GR2_F4P13
2910,GR2_F4P14
2911,GR2_F4P23
2960,GR2_F3P42
2961,GR2_F4M31
2962,GR2_F4M32
2963,GR2_F4M41
2964,GR2_F4M42
2965,GR2_F4N31
2966,GR2_F4N32
2967,GR2_F4N41
2968,GR2_F4N42
2969,GR2_F4O31
2970,GR2_F4O32
2971,GR2_F4O41
2972,GR2_F4O42
2973,GR2_F4P31
2974,GR2_F4P32
3025,GR2_F4M33
3026,GR2_F4M34
3027,GR2_F4M43
3028,GR2_F4M44
3029,GR2_F4N33
3030,GR2_F4N34
3031,GR2_F4N43
3032,GR2_F4N44
3033,GR2_F4O33
3034,GR2_F4O34
3035,GR2_F4O43
3036,GR2_F4O44
3037,GR2_F4P33
3038,GR2_F4P34
3090,GR2_J2A12
3091,GR2_J2A21
3092,GR2_J2A22
3093,GR2_J2B11
3094,GR2_J2B12
3095,GR2_J2B21
3096,GR2_J2B22
3097,GR2_J2C11
3098,GR2_J2C12
3099,GR2_J2C21
3100,GR2_J2C22
3101,GR2_J2D11
3155,GR2_J2A23
3156,GR2_J2A24
3157,GR2_J2B13
3158,GR2_J2B14
3159,GR2_J2B23
3160,GR2_J2B24
3161,GR2_J2C13
3162,GR2_J2C14
3163,GR2_J2C23
3164,GR2_J2C24
3165,GR2_J2D13
3220,GR2_J2A42
3221,GR2_J2B31
3222,GR2_J2B32
3223,GR2_J2B41
3224,GR2_J2B42
3225,GR2_J2C31
3226,GR2_J2C32
3227,GR2_J2C41
3228,GR2_J2C42
3229,GR2_J2D31
3285,GR2_J2B33
3286,GR2_J2B34
3287,GR2_J2B43
3288,GR2_J2B44
3289,GR2_J2C33
3290,GR2_J2C34
3291,GR2_J2C43
3292,GR2_J2C44
3350,GR2_J2F12
3351,GR2_J2F21
3352,GR2_J2F22
3353,GR2_J2G11
3354,GR2_J2G12
3355,GR2_J2G21
3356,GR2_J2G22
3415,GR2_J2F23
3416,GR2_J2F24
3417,GR2_J2G13
3418,GR2_J2G14
3419,GR2_J2G23
3480,GR2_J2F42
3481,GR2_J2G31
3482,GR2_J2G32
3483,GR2_J2G41
