도서명,island_lon,island_lat,grid_no,gid,rank_nn,dist_m_est,weight_inv_dist2
문도,1000821.2180615958,1569038.8616318102,GR2_G1P31,1965,1,3157.148952045982,1.0032514873657165e-07
문도,1000821.2180615958,1569038.8616318102,GR2_G1O21,1835,2,3774.087191324086,7.020630410727907e-08
문도,1000821.2180615958,1569038.8616318102,GR2_G1P32,1966,3,4097.029980427573,5.9574676153512895e-08
문서,1005665.0002615314,1571870.0025059981,GR2_G1O23,1899,1,1134.8197867852155,7.765078734061395e-07
문서,1005665.0002615314,1571870.0025059981,GR2_G1O22,1836,2,2412.1380669424466,1.7186822840812477e-07
문서,1005665.0002615314,1571870.0025059981,GR2_G1O24,1900,3,3626.742530488913,7.602676590210259e-08
안모기여,1005524.0197748765,1571657.7825503633,GR2_G1O23,1899,1,1389.583085109573,5.178819053595795e-07
안모기여,1005524.0197748765,1571657.7825503633,GR2_G1O22,1836,2,2377.7364327622636,1.7687746225998378e-07
안모기여,1005524.0197748765,1571657.7825503633,GR2_G1O24,1900,3,3821.6045384860486,6.847128560589776e-08
작은모기여,1005657.9308353335,1571651.1292493534,GR2_G1O23,1899,1,1324.798745699406,5.697704688407523e-07
작은모기여,1005657.9308353335,1571651.1292493534,GR2_G1O22,1836,2,2498.9109885536063,1.6013945895406445e-07
작은모기여,1005657.9308353335,1571651.1292493534,GR2_G1O24,1900,3,3696.2208001040476,7.319546175924311e-08
소평서,995466.4172101436,1584978.4092922339,GR2_G1L33,1773,1,1764.083488040333,3.2133763316542133e-07
소평서,995466.4172101436,1584978.4092922339,GR2_G1L34,1774,2,2795.475750586715,1.279641999636469e-07
소평서,995466.4172101436,1584978.4092922339,GR2_G1L32,1710,3,3841.6610343976395,6.775820388603153e-08
시와여,995973.5570437791,1583620.4832196955,GR2_G1L33,1773,1,3213.6020463201044,9.683130110032075e-08
시와여,995973.5570437791,1583620.4832196955,GR2_G1L34,1774,2,3482.4090082270213,8.245944530703014e-08
시와여,995973.5570437791,1583620.4832196955,GR2_G1M43,2019,3,4056.614687118995,6.076765203216519e-08
평도,995460.4454870778,1583555.020923187,GR2_G1L33,1773,1,3137.9692228297927,1.0155530070938577e-07
평도,995460.4454870778,1583555.020923187,GR2_G1L34,1774,2,3818.4375458900286,6.858491216828219e-08
평도,995460.4454870778,1583555.020923187,GR2_G1M43,2019,3,3881.571202261755,6.637199272600306e-08
검등여,996384.6615353419,1582859.7854508236,GR2_G1M44,2020,1,3411.242093307387,8.593594925177464e-08
검등여,996384.6615353419,1582859.7854508236,GR2_G1M43,2019,2,3491.324705148585,8.203883438371713e-08
검등여,996384.6615353419,1582859.7854508236,GR2_G1L34,1774,3,4003.0405533085136,6.240508704444094e-08
갈퀴섬,996299.5142130832,1581802.6371975378,GR2_G1M44,2020,1,2519.7381566464865,1.5750310012651297e-07
갈퀴섬,996299.5142130832,1581802.6371975378,GR2_G1M43,2019,2,2533.187888749938,1.558350434274072e-07
갈퀴섬,996299.5142130832,1581802.6371975378,GR2_G1N11,1829,3,4758.967782759612,4.415444714642722e-08
아랫부리섬,997009.6645308656,1581483.300885166,GR2_G1M44,2020,1,1900.348139171771,2.7690674836703014e-07
아랫부리섬,997009.6645308656,1581483.300885166,GR2_G1M43,2019,2,2782.704161231336,1.291415126351365e-07
아랫부리섬,997009.6645308656,1581483.300885166,GR2_G1N11,1829,3,3980.755626270191,6.31057506965103e-08
광도,1003113.902847967,1585728.6115968763,GR2_G1L42,1712,1,961.4472344249356,1.081804095102032e-06
광도,1003113.902847967,1585728.6115968763,GR2_G1L41,1711,2,2692.709782429985,1.3791796609167442e-07
광도,1003113.902847967,1585728.6115968763,GR2_G1L43,1775,3,3308.4470103655635,9.135905401358911e-08
소두래기섬,1003280.993296363,1583516.7247471,GR2_G1L42,1712,1,3121.4121919173585,1.0263552560685602e-07
소두래기섬,1003280.993296363,1583516.7247471,GR2_G1N12,1830,2,3800.0507115253668,6.925022444663321e-08
소두래기섬,1003280.993296363,1583516.7247471,GR2_G1L41,1711,3,4125.795087086032,5.87468609547975e-08
대두역서,1003309.7185749102,1583259.7010582648,GR2_G1L42,1712,1,3376.9381226692144,8.769074425980365e-08
대두역서,1003309.7185749102,1583259.7010582648,GR2_G1N12,1830,2,3542.09950819426,7.97036940192785e-08
대두역서,1003309.7185749102,1583259.7010582648,GR2_G1L41,1711,3,4341.268275750793,5.305993672588451e-08
사기도,1001566.2838720761,1650681.8724190402,GR2_F2L24,1632,1,2069.897704255624,2.3340068855077266e-07
사기도,1001566.2838720761,1650681.8724190402,GR2_F2L31,1693,2,2590.463793723608,1.4902011081199892e-07
사기도,1001566.2838720761,1650681.8724190402,GR2_F2L23,1631,3,4240.679168109187,5.5606958606975945e-08
비사도,995993.7999988716,1619165.7778228284,GR2_G1E33,1505,1,2326.1584890857575,1.84808234008765e-07
비사도,995993.7999988716,1619165.7778228284,GR2_G1E34,1506,2,2677.5841416619855,1.3948056086240834e-07
비사도,995993.7999988716,1619165.7778228284,GR2_G1E32,1442,3,4458.8543752989735,5.029831088171269e-08
비사도-1,996490.6291411695,1618542.4423629898,GR2_G1E34,1506,1,2937.0283407900497,1.1592675387690437e-07
비사도-1,996490.6291411695,1618542.4423629898,GR2_G1E33,1505,2,3114.3718173713582,1.0310008748909574e-07
비사도-1,996490.6291411695,1618542.4423629898,GR2_G1G24,1388,3,4426.521464685827,5.103578848209676e-08
비사도-2,996362.8694662119,1619232.5223581172,GR2_G1E34,1506,1,2399.5970011899467,1.7366939986465905e-07
비사도-2,996362.8694662119,1619232.5223581172,GR2_G1E33,1505,2,2470.199492901778,1.6388374223413645e-07
비사도-2,996362.8694662119,1619232.5223581172,GR2_G1E41,1443,3,4652.196178032654,4.6204464326849444e-08
비사도-3,996303.308890974,1618950.8927585736,GR2_G1E34,1506,1,2667.4441483465466,1.4054301607414897e-07
비사도-3,996303.308890974,1618950.8927585736,GR2_G1E33,1505,2,2668.413411589085,1.4044093412598456e-07
