번호,관련번호,상위번호,도서명,자료출처,지명유래,X좌표,Y좌표,유무인도,연육도현황,기타,도형정보
543,지죽-7,4.68E+18,유두도,행정,써랫도라고 하기도 하,226662.28,207406.97,0,,,POINT (226662.27778350795 207406.96567160432)
544,지죽-8,4.68E+18,대염도,고시,옛날 소금을 실은 배가,229704.28,204352.23,0,,,POINT (229704.28090903832 204352.23002092418)
545,지죽-9,4.68E+18,대염도-1,부여,대염도 인근의 섬,230234.81,204127.89,0,,미등록섬,POINT (230234.80546667517 204127.8936479966)
546,지죽-10,4.68E+18,대도,고시,지죽도 앞에 있어 서로,228067.54,205476.52,1,,,POINT (228067.54210035026 205476.5182442664)
547,지죽-11,4.68E+18,지죽도,수치,섬안에 지초라는 풀이,228382.35,204616.85,1,연도교,,POINT (228382.34769777153 204616.849998926)
548,지죽-12,4.68E+18,지죽-1,부여,지죽인근의 섬,228413.92,203978.36,0,,미등록섬,POINT (228413.91656814527 203978.3586358021)
549,지죽-13,4.68E+18,지죽-2,부여,지죽인근의 섬,228517.39,203863.37,0,,미등록섬,POINT (228517.38768242288 203863.37067276164)
550,남성-1,4.68E+18,석사도,현지,석사나루터가 있다고 ,236860.06,212140.35,0,,미등록섬,POINT (236860.0588655493 212140.34775112697)
551,남성-2,4.68E+18,동래도-1,부여,,239264.12,215094.81,0,,미등록섬,POINT (239264.12472843073 215094.80727280048)
552,옥강-1,4.68E+18,동래도,고시,동쪽의 내산이라는 뜻,239731.88,215498.52,0,,,POINT (239731.87962726585 215498.52393858397)
553,오취-2,4.68E+18,첨도,고시,섬의 모양이 바다에서,238548.14,220557.21,0,,,POINT (241053.5932042306 219549.37650301226)
554,오취-3,4.68E+18,두록도,고시,섬 모양이 콩처럼 생겼,240757.9,217668.94,0,,,POINT (240757.89843366542 217668.9387194821)
555,오취-4,4.68E+18,비사도,고시,옛날 비사(飛巳날으는,241875.81,219107.13,0,,,POINT (241875.80822969548 219107.13351050514)
556,오취-5,4.68E+18,비사도-1,부여,,242375.93,218486,0,,,POINT (242375.9326531511 218485.9978198037)
557,오취-6,4.68E+18,비사도-2,부여,,242244.7,219175.73,0,,,POINT (242244.7044050666 219175.7254614954)
558,오취-7,4.68E+18,비사도-3,부여,,242186.51,218893.69,0,,,POINT (242186.51374428172 218893.6940471629)
559,오취-8,4.68E+18,소드레도,행정,섬모양이 솥 뚜껑을 닮,237083.58,218309.45,0,,,POINT (237083.58262409648 218309.446857306)
560,오취-9,4.68E+18,양도,현지,현지에서 불리우는 명,240181.24,217533.94,0,,,POINT (240181.2352426191 217533.94113355555)
561,오취-11,4.68E+18,하식도,현지,현지에서 불리우는 명,240079.37,217750.96,0,,,POINT (240079.3726408894 217750.9585798711)
562,오취-13,4.68E+18,상식도,현지,현지에서 불리우는 명,239570.44,217882.93,0,,,POINT (239570.43828973713 217882.93162126397)
563,오취-14,4.68E+18,추도,현지,현지에서 불리우는 명,242301.16,217970.64,0,,,POINT (242301.15842219532 217970.63733932225)
564,오취-12,4.68E+18,달리도,현지,현지에서 불리우는 명,242158.69,217907.87,0,,,POINT (242158.68903177368 217907.8716102548)
565,오취-13,4.68E+18,초도,현지,현지에서 불리우는 명,241558.42,219888.62,0,,,POINT (241558.4215958289 219888.6190096626)
566,오취-14,4.68E+18,오도,현지,현지에서 불리우는 명,241695.81,219532.48,0,,,POINT (241695.81302225118 219532.47878057673)
567,오취-15,4.68E+18,토도,현지,현지에서 불리우는 명,239702.5,216517.15,0,,,POINT (239702.4981919481 216517.14739590522)
568,사양-1,4.68E+18,사양도,고시,사면이 바다라서 사양,240742.65,208920.27,1,,,POINT (240742.65267172188 208920.27222098102)
569,사양-2,4.68E+18,애도,고시,옛날 이 섬에 쑥이 많,241209.21,207638.86,1,,,POINT (241209.20868009637 207638.8612264929)
570,사양-3,4.68E+18,오형제도-1,행정,올망올망 흩어져 있는,236603.21,210645.23,0,,,POINT (236603.20945527317 210645.22957349394)
571,사양-4,4.68E+18,오형제도,고시,크고 작은 다섯 개의 ,236430.06,210897.85,0,,,POINT (236416.21081109875 210878.4527974403)
572,사양-5,4.68E+18,오형제도-2,부여,오형제도 인근의 작은,236510.98,210483.35,0,,미등록섬,POINT (236510.98421842777 210483.35106838198)
573,사양-6,4.68E+18,오형제도-5,부여,오형제도 인근의 작은,236840.97,210142.29,0,,미등록섬,POINT (236840.96744750955 210142.2874758644)
574,사양-7,4.68E+18,용홍도,행정,용서도와 인근한 섬으,237969.99,212997.54,0,,,POINT (237982.78322762623 213007.05842673295)
575,사양-8,4.68E+18,용서도,행정,마을주민들은 소룡도,237949.1,213415.26,0,,,POINT (237949.09826585578 213415.26490458072)
576,사양-9,4.68E+18,오형제도-4,고시,"잔여 남쪽에 있으며, ",236697.32,210251.02,0,,,POINT (236759.09233678188 210250.37995425635)
577,사양-10,4.68E+18,강등서,고시,섬의 모양이 둥글다고,235748.83,208521.51,0,,,POINT (235748.83292074228 208521.51100943057)
578,사양-11,4.68E+18,장구섬,고시,가매섬 동남쪽에 있으,234021.43,206338.27,0,,,POINT (234021.43447208282 206338.26832805324)
579,사양-12,4.68E+18,장구섬-1,부여,장구섬 인근에 있는 작,234066.1,206410.85,0,,,POINT (234066.09722138155 206410.8476010597)
580,사양-13,4.68E+18,잔서도,행정,작은 바위섬이 올망졸,232599.89,207532.83,0,,,POINT (232599.8925266452 207532.83218214073)
