src_node,dst_node,island_name,release_point_id,attn_layer1_mean,attn_layer2
112,137,고성하일,113,0.017821686,8.805122e-14
112,138,남해유구,113,0.0037574028,6.3604215e-09
112,139,여수반월,113,0.0051635,4.893907e-06
112,140,여수안도,113,0.007552595,0.0056107473
112,141,여수백야도,113,0.018997064,0.05171418
112,143,부산해양대,113,0.12776229,0.46996424
112,144,통영망일봉,113,0.02288269,7.180669e-14
112,145,마산봉암,113,0.012335327,2.7932234e-07
112,146,거제두모,113,0.007567836,2.0560073e-07
112,148,부산가덕도,113,0.008565767,0.0006779505
112,149,통영욕지도,113,0.0050530643,6.0045124e-10
113,127,고흥신흥,114,0.01883645,0.053123463
113,128,고흥염포,114,0.017604742,0.048368588
113,137,고성하일,114,0.009046383,2.3361734e-12
113,138,남해유구,114,0.020341363,2.7832245e-16
113,139,여수반월,114,0.0066561135,7.115675e-14
113,140,여수안도,114,0.004914676,1.5456813e-11
113,141,여수백야도,114,0.004620914,2.3744035e-10
113,144,통영망일봉,114,0.0059711216,2.7997085e-10
113,145,마산봉암,114,0.032565046,0.07424459
113,146,거제두모,114,0.010671698,0.010782598
113,149,통영욕지도,114,0.040150337,2.1447306e-14
114,127,고흥신흥,115,0.0070905676,0.0063115736
114,128,고흥염포,115,0.007870339,0.008907105
114,137,고성하일,115,0.008427994,3.4775965e-12
114,138,남해유구,115,0.12206438,1.0098371e-17
114,139,여수반월,115,0.010921469,2.7659177e-15
114,140,여수안도,115,0.0047037005,3.3613768e-11
114,141,여수백야도,115,0.00517126,2.8205438e-11
114,144,통영망일봉,115,0.005398897,1.6835782e-09
114,146,거제두모,115,0.026785322,0.055066053
114,149,통영욕지도,115,0.012653766,3.852959e-13
115,137,고성하일,116,0.08775014,0.33834133
115,143,부산해양대,116,0.064435184,7.144343e-09
115,144,통영망일봉,116,0.0054788403,0.00011699218
115,145,마산봉암,116,0.007773552,4.710327e-05
115,146,거제두모,116,0.0066720727,3.4171921e-06
115,148,부산가덕도,116,0.01537562,1.6146444e-07
116,137,고성하일,117,0.013312677,0.02919811
116,143,부산해양대,117,0.033596303,3.527048e-08
116,144,통영망일봉,117,0.0052018934,1.3441743e-05
116,145,마산봉암,117,0.009218127,4.6761115e-06
116,146,거제두모,117,0.0073391316,4.4518438e-07
116,148,부산가덕도,117,0.025663298,2.3292415e-08
116,149,통영욕지도,117,0.0860435,0.32042912
117,137,고성하일,118,0.005148519,0.00020711649
117,143,부산해양대,118,0.017189916,7.782799e-07
117,144,통영망일봉,118,0.004941199,1.573453e-07
117,145,마산봉암,118,0.015020694,1.16937414e-07
117,146,거제두모,118,0.010751072,9.901056e-09
117,148,부산가덕도,118,0.07016827,2.9504736e-09
117,149,통영욕지도,118,0.0070571513,0.0052471864
118,137,고성하일,119,0.008247048,7.649155e-12
118,138,남해유구,119,0.0039492063,2.1496567e-11
118,139,여수반월,119,0.004345124,1.4712218e-08
118,140,여수안도,119,0.0044358443,4.6484834e-07
118,141,여수백야도,119,0.0047600777,5.054757e-05
118,144,통영망일봉,119,0.016459584,3.6799033e-13
118,145,마산봉암,119,0.0070966426,0.0004972803
118,146,거제두모,119,0.0063808756,1.4208894e-05
118,148,부산가덕도,119,0.02069049,0.084056914
118,149,통영욕지도,119,0.120573685,9.388239e-15
119,137,고성하일,120,0.0049387105,0.00017372168
119,138,남해유구,120,0.025310611,0.12187753
119,143,부산해양대,120,0.010260304,0.00056264224
119,144,통영망일봉,120,0.0054097557,2.4422766e-09
119,145,마산봉암,120,0.042597435,0.37935925
119,146,거제두모,120,0.0073561044,5.355956e-07
119,148,부산가덕도,120,0.009634207,1.0627389e-05
119,149,통영욕지도,120,0.0043986314,2.5914832e-07
120,129,해남송평,121,0.006154705,9.557603e-11
120,130,해남묵동리,121,0.005789209,7.6246665e-10
120,131,해남예락,121,0.006199216,8.192387e-09
120,133,완도신지도,121,0.0056138854,9.105147e-07
120,134,진도하조도,121,0.009358612,1.1671216e-06
120,135,신안압해도,121,0.13149652,6.759217e-16
120,136,신안임자도,121,0.02368481,5.1495896e-09
120,147,완도보길도,121,0.005666506,6.917054e-08
121,129,해남송평,122,0.010473301,6.602546e-13
121,130,해남묵동리,122,0.014271084,2.2543165e-13
121,131,해남예락,122,0.011664286,1.7413728e-11
121,132,완도평일도,122,0.00561813,4.6875637e-09
121,133,완도신지도,122,0.005486052,3.2300085e-09
121,134,진도하조도,122,0.01954928,2.0956427e-13
121,135,신안압해도,122,0.00845062,1.79466e-08
121,147,완도보길도,122,0.01979321,5.0079515e-14
122,127,고흥신흥,123,0.0046468736,3.1582897e-07
122,128,고흥염포,123,0.004844563,1.9196548e-06
122,129,해남송평,123,0.010456656,9.835663e-13
122,130,해남묵동리,123,0.007788072,2.2228426e-11
122,131,해남예락,123,0.009563842,1.01948804e-10
